poNumber,quantity,dateOrdered,eta,dateDelivered,status_id,part_id,unit_id
2201,2773,2022-04-26,2022-05-26,,1,1,4
2201,6202,2022-04-26,2022-05-26,,1,2,4
2201,555,2022-04-26,2022-05-26,,1,3,4
2202,1990,2022-04-29,2022-05-29,,1,8,4
2202,9792,2022-04-29,2022-05-29,,1,9,4
2202,4579,2022-04-29,2022-05-29,,1,10,4
2203,3126,2022-04-30,2022-05-30,,1,25,4
2203,623,2022-04-30,2022-05-30,,1,26,4
2204,8509,2022-05-02,2022-06-01,,1,31,4
2205,5318,2022-05-03,2022-06-02,,1,19,4
2205,4295,2022-05-03,2022-06-02,,1,45,4
2205,5607,2022-05-03,2022-06-02,,1,68,4
2205,5222,2022-05-03,2022-06-02,,1,71,4
2206,4354,2022-05-04,2022-06-03,,1,28,4
2207,4101,2022-05-05,2022-06-04,,1,39,4
2208,3001,2022-05-06,2022-06-05,,1,22,4
