id,part_id,currentStock,lastUpdateDate
1,1,78,2022-04-26 19:46:15.771208-07
2,2,49,2022-04-26 19:46:15.771208-07
3,3,64,2022-04-26 19:46:15.771208-07
4,4,50,2022-04-26 19:46:15.771208-07
5,5,81,2022-04-26 19:46:15.771208-07
6,6,9,2022-04-26 19:46:15.771208-07
7,7,37,2022-04-26 19:46:15.771208-07
8,8,35,2022-04-26 19:46:15.771208-07
9,9,40,2022-04-26 19:46:15.771208-07
10,10,36,2022-04-26 19:46:15.771208-07
11,11,102,2022-04-26 19:46:15.771208-07
12,12,106,2022-04-26 19:46:15.771208-07
13,13,26,2022-04-26 19:46:15.771208-07
14,14,4815,2022-04-26 19:46:15.771208-07
15,15,4543,2022-04-26 19:46:15.771208-07
16,16,4778,2022-04-26 19:46:15.771208-07
17,17,4464,2022-04-26 19:46:15.771208-07
18,18,4526,2022-04-26 19:46:15.771208-07
19,19,9895,2022-04-26 19:46:15.771208-07
20,20,4639,2022-04-26 19:46:15.771208-07
21,21,4860,2022-04-26 19:46:15.771208-07
22,22,4602,2022-04-26 19:46:15.771208-07
23,23,4003,2022-04-26 19:46:15.771208-07
24,24,4219,2022-04-26 19:46:15.771208-07
25,25,49457,2022-04-26 19:46:15.771208-07
26,26,7169,2022-04-26 19:46:15.771208-07
27,27,7524,2022-04-26 19:46:15.771208-07
28,28,7740,2022-04-26 19:46:15.771208-07
29,29,7350,2022-04-26 19:46:15.771208-07
30,30,7807,2022-04-26 19:46:15.771208-07
31,31,7658,2022-04-26 19:46:15.771208-07
32,32,7452,2022-04-26 19:46:15.771208-07
33,33,7098,2022-04-26 19:46:15.771208-07
34,34,7248,2022-04-26 19:46:15.771208-07
35,35,59470,2022-04-26 19:46:15.771208-07
36,36,59111,2022-04-26 19:46:15.771208-07
37,37,552,2022-04-26 19:46:15.771208-07
38,38,533,2022-04-26 19:46:15.771208-07
39,39,900,2022-04-26 19:46:15.771208-07
40,40,1468,2022-04-26 19:46:15.771208-07
41,41,943,2022-04-26 19:46:15.771208-07
42,42,1496,2022-04-26 19:46:15.771208-07
43,43,653,2022-04-26 19:46:15.771208-07
44,44,672,2022-04-26 19:46:15.771208-07
45,45,708,2022-04-26 19:46:15.771208-07
46,46,1033,2022-04-26 19:46:15.771208-07
47,47,1000,2022-04-26 19:46:15.771208-07
48,48,804,2022-04-26 19:46:15.771208-07
49,49,1082,2022-04-26 19:46:15.771208-07
50,50,1107,2022-04-26 19:46:15.771208-07
51,51,437,2022-04-26 19:46:15.771208-07
52,52,821,2022-04-26 19:46:15.771208-07
53,53,846,2022-04-26 19:46:15.771208-07
54,54,607,2022-04-26 19:46:15.771208-07
55,55,765,2022-04-26 19:46:15.771208-07
56,56,700,2022-04-26 19:46:15.771208-07
57,57,19909,2022-04-26 19:46:15.771208-07
58,58,6547,2022-04-26 19:46:15.771208-07
59,59,6239,2022-04-26 19:46:15.771208-07
60,60,6636,2022-04-26 19:46:15.771208-07
61,61,6525,2022-04-26 19:46:15.771208-07
62,62,6482,2022-04-26 19:46:15.771208-07
63,63,6175,2022-04-26 19:46:15.771208-07
64,64,6260,2022-04-26 19:46:15.771208-07
65,65,6872,2022-04-26 19:46:15.771208-07
66,66,6613,2022-04-26 19:46:15.771208-07
67,67,6269,2022-04-26 19:46:15.771208-07
68,68,66,2022-04-26 19:46:15.771208-07
69,69,75,2022-04-26 19:46:15.771208-07
70,70,29,2022-04-26 19:46:15.771208-07
71,71,14,2022-04-26 19:46:15.771208-07
72,72,23,2022-04-26 19:46:15.771208-07
73,73,26,2022-04-26 19:46:15.771208-07
74,74,0,2022-04-26 19:46:15.771208-07
