id,part_id,minimumStock,lastUpdateDate
1,1,100,2022-04-26 19:46:15.771208-07
2,2,100,2022-04-26 19:46:15.771208-07
3,3,100,2022-04-26 19:46:15.771208-07
4,4,100,2022-04-26 19:46:15.771208-07
5,5,100,2022-04-26 19:46:15.771208-07
6,6,100,2022-04-26 19:46:15.771208-07
7,7,50,2022-04-26 19:46:15.771208-07
8,8,50,2022-04-26 19:46:15.771208-07
9,9,50,2022-04-26 19:46:15.771208-07
10,10,120,2022-04-26 19:46:15.771208-07
11,11,120,2022-04-26 19:46:15.771208-07
12,12,120,2022-04-26 19:46:15.771208-07
13,13,120,2022-04-26 19:46:15.771208-07
14,14,5000,2022-04-26 19:46:15.771208-07
15,15,5000,2022-04-26 19:46:15.771208-07
16,16,5000,2022-04-26 19:46:15.771208-07
17,17,5000,2022-04-26 19:46:15.771208-07
18,18,5000,2022-04-26 19:46:15.771208-07
19,19,10000,2022-04-26 19:46:15.771208-07
20,20,5000,2022-04-26 19:46:15.771208-07
21,21,5000,2022-04-26 19:46:15.771208-07
22,22,5000,2022-04-26 19:46:15.771208-07
23,23,5000,2022-04-26 19:46:15.771208-07
24,24,5000,2022-04-26 19:46:15.771208-07
25,25,50000,2022-04-26 19:46:15.771208-07
26,26,8000,2022-04-26 19:46:15.771208-07
27,27,8000,2022-04-26 19:46:15.771208-07
28,28,8000,2022-04-26 19:46:15.771208-07
29,29,8000,2022-04-26 19:46:15.771208-07
30,30,8000,2022-04-26 19:46:15.771208-07
31,31,8000,2022-04-26 19:46:15.771208-07
32,32,8000,2022-04-26 19:46:15.771208-07
33,33,8000,2022-04-26 19:46:15.771208-07
34,34,8000,2022-04-26 19:46:15.771208-07
35,35,60000,2022-04-26 19:46:15.771208-07
36,36,60000,2022-04-26 19:46:15.771208-07
37,37,200,2022-04-26 19:46:15.771208-07
38,38,200,2022-04-26 19:46:15.771208-07
39,39,1500,2022-04-26 19:46:15.771208-07
40,40,1500,2022-04-26 19:46:15.771208-07
41,41,1500,2022-04-26 19:46:15.771208-07
42,42,1500,2022-04-26 19:46:15.771208-07
43,43,1500,2022-04-26 19:46:15.771208-07
44,44,1500,2022-04-26 19:46:15.771208-07
45,45,1500,2022-04-26 19:46:15.771208-07
46,46,1500,2022-04-26 19:46:15.771208-07
47,47,1500,2022-04-26 19:46:15.771208-07
48,48,1500,2022-04-26 19:46:15.771208-07
49,49,1300,2022-04-26 19:46:15.771208-07
50,50,1300,2022-04-26 19:46:15.771208-07
51,51,1300,2022-04-26 19:46:15.771208-07
52,52,1300,2022-04-26 19:46:15.771208-07
53,53,1300,2022-04-26 19:46:15.771208-07
54,54,1300,2022-04-26 19:46:15.771208-07
55,55,1300,2022-04-26 19:46:15.771208-07
56,56,1300,2022-04-26 19:46:15.771208-07
57,57,20000,2022-04-26 19:46:15.771208-07
58,58,7000,2022-04-26 19:46:15.771208-07
59,59,7000,2022-04-26 19:46:15.771208-07
60,60,7000,2022-04-26 19:46:15.771208-07
61,61,7000,2022-04-26 19:46:15.771208-07
62,62,7000,2022-04-26 19:46:15.771208-07
63,63,7000,2022-04-26 19:46:15.771208-07
64,64,7000,2022-04-26 19:46:15.771208-07
65,65,7000,2022-04-26 19:46:15.771208-07
66,66,7000,2022-04-26 19:46:15.771208-07
67,67,7000,2022-04-26 19:46:15.771208-07
68,68,100,2022-04-26 19:46:15.771208-07
69,69,100,2022-04-26 19:46:15.771208-07
70,70,30,2022-04-26 19:46:15.771208-07
71,71,40,2022-04-26 19:46:15.771208-07
72,72,50,2022-04-26 19:46:15.771208-07
73,73,60,2022-04-26 19:46:15.771208-07
74,74,70,2022-04-26 19:46:15.771208-07
